,Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Salary in USD,Employee Residence,Company Size,Year,Region
57,Data Science Manager,Full-Time,Senior,Expert,328000,United States Dollar,United States of America,328000,United States,Medium,2023,North America
58,Machine Learning Scientist,Full-Time,Senior,Expert,325000,United States Dollar,United States of America,325000,United States,Medium,2023,North America
59,Director of Data Science,Full-Time,Executive,Director,325000,United States Dollar,United States of America,325000,United States,Large,2020,North America
60,Machine Learning Engineer,Full-Time,Senior,Expert,324000,United States Dollar,United States of America,324000,United States,Medium,2023,North America
61,Data Engineer,Full-Time,Executive,Director,324000,United States Dollar,United States of America,324000,United States,Medium,2022,North America
62,Finance Data Analyst,Contract,Senior,Expert,300000,Euro,United States of America,323905,France,Medium,2023,North America
63,Machine Learning Engineer,Full-Time,Senior,Expert,323300,United States Dollar,United States of America,323300,United States,Medium,2023,North America
64,Data Scientist,Full-Time,Senior,Expert,323300,United States Dollar,United States of America,323300,United States,Medium,2023,North America
65,Research Scientist,Full-Time,Senior,Expert,323300,United States Dollar,United States of America,323300,United States,Medium,2023,North America
66,Machine Learning Engineer,Full-Time,Senior,Expert,318300,United States Dollar,United States of America,318300,United States,Medium,2023,North America
67,Machine Learning Engineer,Full-Time,Senior,Expert,317070,United States Dollar,United States of America,317070,United States,Medium,2023,North America
68,Data Scientist,Full-Time,Senior,Expert,317070,United States Dollar,United States of America,317070,United States,Medium,2023,North America
69,Data Scientist,Full-Time,Senior,Expert,316000,United States Dollar,United States of America,316000,United States,Medium,2023,North America
70,ML Engineer,Full-Time,Senior,Expert,315850,United States Dollar,United States of America,315850,United States,Medium,2023,North America
71,Business Intelligence Analyst,Full-Time,Mid,Intermediate,100631,United States Dollar,Canada,100631,Canada,Medium,2023,North America
72,Business Intelligence Analyst,Full-Time,Mid,Intermediate,80505,United States Dollar,Canada,80505,Canada,Medium,2023,North America
73,Machine Learning Engineer,Full-Time,Senior,Expert,315300,United States Dollar,United States of America,315300,United States,Medium,2023,North America
74,Data Engineer,Full-Time,Senior,Expert,315000,United States Dollar,United States of America,315000,United States,Medium,2022,North America
75,Head of Data Science,Full-Time,Executive,Director,314100,United States Dollar,United States of America,314100,United States,Medium,2023,North America
76,Machine Learning Engineer,Full-Time,Senior,Expert,311000,United States Dollar,United States of America,311000,United States,Medium,2023,North America
77,Data Scientist,Full-Time,Mid,Intermediate,65000,British Pound Sterling,United Kingdom,79976,United Kingdom,Medium,2023,Europe
78,Data Scientist,Full-Time,Mid,Intermediate,45000,British Pound Sterling,United Kingdom,55368,United Kingdom,Medium,2023,Europe
79,Data Scientist,Full-Time,Senior,Expert,310270,United States Dollar,United States of America,310270,United States,Medium,2023,North America
80,Data Engineer,Full-Time,Executive,Director,310000,United States Dollar,United States of America,310000,United States,Medium,2023,North America
81,Data Engineer,Full-Time,Senior,Expert,310000,United States Dollar,United States of America,310000,United States,Medium,2023,North America
82,Data Engineer,Full-Time,Executive,Director,310000,United States Dollar,United States of America,310000,United States,Medium,2022,North America
83,Applied Scientist,Full-Time,Senior,Expert,309400,United States Dollar,United States of America,309400,United States,Large,2023,North America
84,Machine Learning Engineer,Full-Time,Senior,Expert,309000,United States Dollar,United States of America,309000,United States,Medium,2023,North America
85,Data Architect,Full-Time,Senior,Expert,306000,United States Dollar,United States of America,306000,United States,Medium,2023,North America
86,ML Engineer,Full-Time,Senior,Expert,305000,United States Dollar,United States of America,305000,United States,Medium,2023,North America
87,Data Engineer,Full-Time,Senior,Expert,305000,United States Dollar,United States of America,305000,United States,Medium,2023,North America
88,Data Engineer,Full-Time,Senior,Expert,304200,United States Dollar,United States of America,304200,United States,Medium,2023,North America
89,Machine Learning Engineer,Full-Time,Senior,Expert,304000,United States Dollar,United States of America,304000,United States,Medium,2023,North America
90,Research Scientist,Full-Time,Senior,Expert,303050,United States Dollar,United States of America,303050,United States,Medium,2023,North America
91,Machine Learning Scientist,Full-Time,Senior,Expert,171000,British Pound Sterling,United Kingdom,210398,United Kingdom,Medium,2023,Europe
92,Machine Learning Scientist,Full-Time,Senior,Expert,120000,British Pound Sterling,United Kingdom,147648,United Kingdom,Medium,2023,Europe
93,Machine Learning Software Engineer,Full-Time,Senior,Expert,302000,United States Dollar,United States of America,302000,United States,Medium,2023,North America
94,Data Scientist,Full-Time,Senior,Expert,300240,United States Dollar,United States of America,300240,United States,Medium,2023,North America
95,AI Scientist,Full-Time,Mid,Intermediate,54000,United States Dollar,South Korea,54000,"Korea, Republic of",Small,2023,Asia
96,Data Infrastructure Engineer,Full-Time,Senior,Expert,300105,United States Dollar,United States of America,300105,United States,Medium,2023,North America
97,Machine Learning Engineer,Full-Time,Mid,Intermediate,300000,United States Dollar,United States of America,300000,United States,Medium,2023,North America
98,Data Scientist,Full-Time,Senior,Expert,300000,United States Dollar,United States of America,300000,United States,Medium,2023,North America
99,Data Engineer,Full-Time,Senior,Expert,300000,United States Dollar,United States of America,300000,United States,Medium,2023,North America
100,Data Analyst,Full-Time,Mid,Intermediate,60000,British Pound Sterling,United Kingdom,73824,United Kingdom,Medium,2023,Europe
101,Data Analyst,Full-Time,Mid,Intermediate,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,Medium,2023,Europe
102,Machine Learning Engineer,Full-Time,Senior,Expert,300000,United States Dollar,United States of America,300000,United States,Medium,2023,North America
103,Managing Director Data Science,Full-Time,Executive,Director,300000,United States Dollar,United States of America,300000,United States,Large,2020,North America
104,AI Research Engineer,Full-Time,Mid,Intermediate,66000,British Pound Sterling,United Kingdom,81206,United Kingdom,Medium,2023,Europe
105,Data Scientist,Full-Time,Executive,Director,300000,United States Dollar,United States of America,300000,United States,Medium,2023,North America
106,Data Engineer,Full-Time,Senior,Expert,300000,United States Dollar,United States of America,300000,United States,Medium,2022,North America
107,Research Scientist,Full-Time,Senior,Expert,300000,United States Dollar,United States of America,300000,United States,Medium,2022,North America
108,Data Science Manager,Full-Time,Senior,Expert,300000,United States Dollar,United States of America,300000,United States,Medium,2022,North America
109,Data Science Manager,Full-Time,Senior,Expert,299500,United States Dollar,United States of America,299500,United States,Medium,2023,North America
110,Data Scientist,Full-Time,Executive,Director,299500,United States Dollar,United States of America,299500,United States,Medium,2023,North America
111,Data Science Manager,Full-Time,Senior,Expert,299500,United States Dollar,United States of America,299500,United States,Medium,2022,North America
112,Data Engineer,Full-Time,Executive,Director,297500,United States Dollar,United States of America,297500,United States,Medium,2022,North America
113,Data Scientist,Full-Time,Senior,Expert,297300,United States Dollar,United States of America,297300,United States,Medium,2023,North America
114,ML Engineer,Full-Time,Senior,Expert,297300,United States Dollar,United States of America,297300,United States,Medium,2023,North America
115,Machine Learning Engineer,Full-Time,Senior,Expert,297300,United States Dollar,United States of America,297300,United States,Medium,2023,North America
116,Data Science Manager,Full-Time,Senior,Expert,297300,United States Dollar,United States of America,297300,United States,Medium,2023,North America
117,Machine Learning Engineer,Full-Time,Senior,Expert,297000,United States Dollar,United States of America,297000,United States,Medium,2023,North America
118,Machine Learning Engineer,Full-Time,Senior,Expert,296400,United States Dollar,United States of America,296400,United States,Medium,2023,North America
119,Machine Learning Engineer,Full-Time,Executive,Director,295500,United States Dollar,United States of America,295500,United States,Medium,2023,North America
120,Data Scientist,Full-Time,Senior,Expert,295490,United States Dollar,United States of America,295490,United States,Medium,2023,North America
121,Data Engineer,Full-Time,Senior,Expert,293000,United States Dollar,United States of America,293000,United States,Medium,2023,North America
122,Research Engineer,Full-Time,Senior,Expert,293000,United States Dollar,United States of America,293000,United States,Medium,2023,North America
123,Machine Learning Scientist,Full-Time,Senior,Expert,292200,United States Dollar,United States of America,292200,United States,Medium,2023,North America
124,Machine Learning Scientist,Full-Time,Senior,Expert,292000,United States Dollar,United States of America,292000,United States,Medium,2023,North America
125,Data Engineer,Full-Time,Senior,Expert,291500,United States Dollar,United States of America,291500,United States,Medium,2023,North America
126,ML Engineer,Full-Time,Senior,Expert,290000,United States Dollar,United States of America,290000,United States,Medium,2023,North America
127,Head of Data,Full-Time,Executive,Director,290000,United States Dollar,United States of America,290000,United States,Large,2023,North America
128,Data Engineer,Full-Time,Senior,Expert,290000,United States Dollar,United States of America,290000,United States,Medium,2023,North America
129,Analytics Engineer,Full-Time,Senior,Expert,289800,United States Dollar,United States of America,289800,United States,Medium,2023,North America
130,Data Operations Engineer,Full-Time,Senior,Expert,289120,United States Dollar,United States of America,289120,United States,Medium,2023,North America
131,Machine Learning Engineer,Full-Time,Senior,Expert,289076,United States Dollar,United States of America,289076,United States,Medium,2023,North America
132,ML Engineer,Full-Time,Senior,Expert,289076,United States Dollar,United States of America,289076,United States,Medium,2023,North America
133,Data Engineer,Full-Time,Senior,Expert,288000,United States Dollar,United States of America,288000,United States,Medium,2023,North America
134,Machine Learning Engineer,Full-Time,Senior,Expert,288000,United States Dollar,United States of America,288000,United States,Medium,2023,North America
135,ML Engineer,Full-Time,Senior,Expert,287700,United States Dollar,United States of America,287700,United States,Large,2023,North America
136,Data Engineer,Full-Time,Executive,Director,286000,United States Dollar,United States of America,286000,United States,Medium,2023,North America
137,Data Scientist,Full-Time,Senior,Expert,285800,United States Dollar,United States of America,285800,United States,Medium,2023,North America
138,Data Scientist,Full-Time,Senior,Expert,285000,United States Dollar,United States of America,285000,United States,Medium,2023,North America
139,Machine Learning Engineer,Full-Time,Senior,Expert,285000,United States Dollar,United States of America,285000,United States,Medium,2023,North America
140,Data Engineer,Full-Time,Senior,Expert,285000,United States Dollar,United States of America,285000,United States,Medium,2023,North America
141,Data Architect,Full-Time,Senior,Expert,285000,United States Dollar,United States of America,285000,United States,Medium,2023,North America
142,Research Scientist,Full-Time,Senior,Expert,285000,United States Dollar,United States of America,285000,United States,Medium,2023,North America
143,Data Engineer,Full-Time,Senior,Expert,284310,United States Dollar,United States of America,284310,United States,Medium,2023,North America
144,Machine Learning Engineer,Full-Time,Senior,Expert,284310,United States Dollar,United States of America,284310,United States,Medium,2023,North America
145,Machine Learning Engineer,Full-Time,Senior,Expert,284050,United States Dollar,United States of America,284050,United States,Medium,2023,North America
146,Machine Learning Engineer,Full-Time,Senior,Expert,284000,United States Dollar,United States of America,284000,United States,Medium,2023,North America
147,Data Engineer,Full-Time,Executive,Director,284000,United States Dollar,United States of America,284000,United States,Medium,2023,North America
148,Machine Learning Engineer,Full-Time,Senior,Expert,283780,United States Dollar,United States of America,283780,United States,Medium,2023,North America
149,Deep Learning Engineer,Full-Time,Senior,Expert,283780,United States Dollar,United States of America,283780,United States,Medium,2023,North America
150,Data Engineer,Full-Time,Senior,Expert,283780,United States Dollar,United States of America,283780,United States,Medium,2023,North America
151,Machine Learning Engineer,Full-Time,Senior,Expert,283200,United States Dollar,United States of America,283200,United States,Medium,2023,North America
152,Data Scientist,Full-Time,Senior,Expert,283000,United States Dollar,United States of America,283000,United States,Medium,2023,North America
153,Research Engineer,Full-Time,Senior,Expert,281000,United States Dollar,United States of America,281000,United States,Medium,2023,North America
154,Machine Learning Engineer,Full-Time,Mid,Intermediate,280700,United States Dollar,United States of America,280700,United States,Medium,2023,North America
155,Data Scientist,Full-Time,Mid,Intermediate,110000,British Pound Sterling,United Kingdom,135344,United Kingdom,Medium,2023,Europe
156,Data Scientist,Full-Time,Mid,Intermediate,80000,British Pound Sterling,United Kingdom,98432,United Kingdom,Medium,2023,Europe
157,Data Engineer,Full-Time,Senior,Expert,280600,United States Dollar,United States of America,280600,United States,Medium,2023,North America
158,Data Architect,Full-Time,Senior,Expert,280100,United States Dollar,United States of America,280100,United States,Medium,2023,North America
159,Machine Learning Engineer,Full-Time,Senior,Expert,280000,United States Dollar,United States of America,280000,United States,Medium,2023,North America
160,Head of Data,Full-Time,Executive,Director,200000,British Pound Sterling,United Kingdom,246080,United Kingdom,Medium,2023,Europe
161,Head of Data,Full-Time,Executive,Director,150000,British Pound Sterling,United Kingdom,184560,United Kingdom,Medium,2023,Europe
162,Data Analyst,Full-Time,Mid,Intermediate,49200,Euro,Estonia,53120,Estonia,Medium,2023,Europe
163,Data Analyst,Full-Time,Mid,Intermediate,31200,Euro,Estonia,33686,Estonia,Medium,2023,Europe
164,Data Analyst,Full-Time,Senior,Expert,280000,United States Dollar,United States of America,280000,United States,Medium,2023,North America
165,Computer Vision Engineer,Full-Time,Senior,Expert,280000,United States Dollar,United States of America,280000,United States,Medium,2023,North America
166,Data Scientist,Full-Time,Senior,Expert,278700,United States Dollar,United States of America,278700,United States,Medium,2023,North America
167,Research Scientist,Full-Time,Senior,Expert,278700,United States Dollar,United States of America,278700,United States,Medium,2023,North America
168,Data Engineer,Full-Time,Senior,Expert,278300,United States Dollar,United States of America,278300,United States,Medium,2023,North America
169,Machine Learning Engineer,Full-Time,Senior,Expert,278000,United States Dollar,United States of America,278000,United States,Medium,2023,North America
170,Data Scientist,Full-Time,Senior,Expert,277500,United States Dollar,United States of America,277500,United States,Medium,2023,North America
171,Data Engineer,Full-Time,Senior,Expert,276000,United States Dollar,United States of America,276000,United States,Medium,2023,North America
172,Machine Learning Engineer,Full-Time,Senior,Expert,276000,United States Dollar,United States of America,276000,United States,Medium,2023,North America
173,Lead Data Engineer,Full-Time,Senior,Expert,276000,United States Dollar,United States of America,276000,United States,Large,2021,North America
174,Data Scientist,Full-Time,Senior,Expert,275500,United States Dollar,United States of America,275500,United States,Medium,2023,North America
175,ML Engineer,Full-Time,Senior,Expert,275300,United States Dollar,United States of America,275300,United States,Medium,2023,North America
176,Data Engineer,Full-Time,Senior,Expert,275300,United States Dollar,United States of America,275300,United States,Medium,2023,North America
177,Analytics Engineer,Full-Time,Senior,Expert,275300,United States Dollar,United States of America,275300,United States,Medium,2023,North America
178,Data Scientist,Full-Time,Senior,Expert,275300,United States Dollar,United States of America,275300,United States,Medium,2023,North America
179,Research Scientist,Full-Time,Mid,Intermediate,275000,United States Dollar,United States of America,275000,United States,Medium,2023,North America
180,Data Engineer,Full-Time,Senior,Expert,275000,United States Dollar,United States of America,275000,United States,Medium,2023,North America
181,NLP Engineer,Full-Time,Senior,Expert,275000,United States Dollar,United States of America,275000,United States,Medium,2023,North America
182,Data Engineer,Full-Time,Senior,Expert,275000,United States Dollar,United States of America,275000,United States,Medium,2022,North America
183,Data Architect,Full-Time,Senior,Expert,274450,United States Dollar,United States of America,274450,United States,Medium,2023,North America
184,Research Scientist,Full-Time,Senior,Expert,273400,United States Dollar,United States of America,273400,United States,Medium,2023,North America
185,Machine Learning Engineer,Full-Time,Senior,Expert,273400,United States Dollar,United States of America,273400,United States,Medium,2023,North America
186,Research Engineer,Full-Time,Senior,Expert,273000,United States Dollar,United States of America,273000,United States,Medium,2023,North America
187,Data Scientist,Full-Time,Senior,Expert,272550,United States Dollar,United States of America,272550,United States,Medium,2023,North America
188,Data Scientist,Full-Time,Senior,Expert,272550,United States Dollar,United States of America,272550,United States,Medium,2022,North America
189,Data Scientist,Full-Time,Senior,Expert,272300,United States Dollar,United States of America,272300,United States,Medium,2023,North America
190,Machine Learning Software Engineer,Full-Time,Senior,Expert,272000,United States Dollar,United States of America,272000,United States,Medium,2023,North America
191,Data Engineer,Full-Time,Senior,Expert,270703,United States Dollar,United States of America,270703,United States,Medium,2023,North America
192,Data Scientist,Full-Time,Senior,Expert,270000,United States Dollar,United States of America,270000,United States,Medium,2023,North America
193,Data Science Manager,Full-Time,Mid,Intermediate,270000,United States Dollar,United States of America,270000,United States,Medium,2023,North America
194,ML Engineer,Contract,Mid,Intermediate,270000,United States Dollar,United States of America,270000,United States,Large,2021,North America
195,Head of Data,Full-Time,Executive,Director,269600,United States Dollar,United States of America,269600,United States,Medium,2023,North America
196,Data Scientist,Full-Time,Entry,Junior,150000,Polish Zloty,Poland,34924,Turkey,Medium,2023,Europe
197,Machine Learning Engineer,Full-Time,Senior,Expert,269500,United States Dollar,United States of America,269500,United States,Medium,2023,North America
198,Data Scientist,Full-Time,Senior,Expert,268000,United States Dollar,United States of America,268000,United States,Medium,2023,North America
199,Machine Learning Engineer,Full-Time,Senior,Expert,268000,United States Dollar,United States of America,268000,United States,Medium,2023,North America
200,Machine Learning Engineer,Full-Time,Senior,Expert,267720,United States Dollar,United States of America,267720,United States,Medium,2023,North America
201,Data Scientist,Full-Time,Senior,Expert,267100,United States Dollar,United States of America,267100,United States,Medium,2023,North America
202,Analytics Engineer,Full-Time,Senior,Expert,267000,United States Dollar,United States of America,267000,United States,Medium,2023,North America
203,Data Science Engineer,Full-Time,Senior,Expert,266450,United States Dollar,United States of America,266450,United States,Medium,2023,North America
204,Data Architect,Full-Time,Senior,Expert,266400,United States Dollar,United States of America,266400,United States,Medium,2022,North America
205,Data Engineer,Full-Time,Executive,Director,265800,United States Dollar,United States of America,265800,United States,Medium,2023,North America
206,Data Scientist,Full-Time,Senior,Expert,265000,United States Dollar,United States of America,265000,United States,Medium,2023,North America
207,Data Engineer,Full-Time,Senior,Expert,265000,United States Dollar,United States of America,265000,United States,Medium,2023,North America
208,Data Engineer,Full-Time,Executive,Director,265000,United States Dollar,United States of America,265000,United States,Medium,2023,North America
209,Applied Scientist,Full-Time,Senior,Expert,262500,United States Dollar,United States of America,262500,United States,Large,2023,North America
210,ML Engineer,Full-Time,Senior,Expert,262269,United States Dollar,United States of America,262269,United States,Medium,2023,North America
211,Machine Learning Engineer,Full-Time,Senior,Expert,262000,United States Dollar,United States of America,262000,United States,Medium,2023,North America
212,Data Scientist,Full-Time,Senior,Expert,262000,United States Dollar,United States of America,262000,United States,Medium,2023,North America
213,Machine Learning Engineer,Full-Time,Senior,Expert,261500,United States Dollar,United States of America,261500,United States,Large,2023,North America
214,Data Science Manager,Full-Time,Executive,Director,260500,United States Dollar,United States of America,260500,United States,Medium,2022,North America
215,Data Scientist,Full-Time,Senior,Expert,260000,United States Dollar,United States of America,260000,United States,Medium,2023,North America
216,Data Engineer,Full-Time,Senior,Expert,260000,United States Dollar,United States of America,260000,United States,Medium,2023,North America
217,Analytics Engineer,Full-Time,Senior,Expert,260000,United States Dollar,United States of America,260000,United States,Medium,2023,North America
218,ML Engineer,Full-Time,Senior,Expert,260000,United States Dollar,United States of America,260000,United States,Medium,2023,North America
219,Applied Scientist,Full-Time,Senior,Expert,260000,United States Dollar,United States of America,260000,United States,Large,2023,North America
220,Machine Learning Engineer,Full-Time,Senior,Expert,260000,United States Dollar,United States of America,260000,United States,Medium,2023,North America
221,Director of Data Science,Full-Time,Executive,Director,260000,United States Dollar,United States of America,260000,United States,Medium,2023,North America
222,Data Engineer,Full-Time,Mid,Intermediate,260000,United States Dollar,United States of America,260000,United States,Medium,2023,North America
223,Data Engineer,Full-Time,Mid,Intermediate,260000,United States Dollar,United States of America,260000,United States,Medium,2022,North America
224,Data Engineer,Full-Time,Senior,Expert,260000,United States Dollar,United States of America,260000,United States,Medium,2022,North America
225,Data Engineer,Full-Time,Executive,Director,260000,United States Dollar,United States of America,260000,United States,Medium,2022,North America
226,Data Scientist,Full-Time,Senior,Expert,260000,United States Dollar,United States of America,260000,United States,Medium,2022,North America
227,Business Intelligence Engineer,Full-Time,Senior,Expert,259000,United States Dollar,United States of America,259000,United States,Medium,2023,North America
228,Data Engineer,Full-Time,Senior,Expert,259000,United States Dollar,United States of America,259000,United States,Medium,2023,North America
229,Applied Scientist,Full-Time,Senior,Expert,258800,United States Dollar,United States of America,258800,United States,Medium,2023,North America
230,Data Engineer,Full-Time,Senior,Expert,258750,United States Dollar,United States of America,258750,United States,Medium,2023,North America
231,Data Scientist,Full-Time,Executive,Director,258750,United States Dollar,United States of America,258750,United States,Medium,2023,North America
232,Machine Learning Engineer,Full-Time,Senior,Expert,258384,United States Dollar,United States of America,258384,United States,Medium,2023,North America
233,Data Engineer,Full-Time,Mid,Intermediate,55000,British Pound Sterling,United Kingdom,67672,United Kingdom,Medium,2023,Europe
234,Data Scientist,Full-Time,Senior,Expert,258000,United States Dollar,United States of America,258000,United States,Medium,2023,North America
235,Data Engineer,Full-Time,Mid,Intermediate,258000,United States Dollar,United States of America,258000,United States,Medium,2023,North America
236,AWS Data Architect,Full-Time,Mid,Intermediate,258000,United States Dollar,United States of America,258000,United States,Large,2023,North America
237,Research Engineer,Full-Time,Mid,Intermediate,257400,United States Dollar,United States of America,257400,United States,Medium,2023,North America
238,Data Engineer,Full-Time,Executive,Director,257400,United States Dollar,United States of America,257400,United States,Medium,2023,North America
239,Data Scientist,Full-Time,Senior,Expert,257000,United States Dollar,United States of America,257000,United States,Medium,2023,North America
240,Machine Learning Engineer,Full-Time,Senior,Expert,257000,United States Dollar,United States of America,257000,United States,Medium,2023,North America
241,Data Scientist,Full-Time,Senior,Expert,256000,United States Dollar,United States of America,256000,United States,Medium,2023,North America
242,ML Engineer,Full-Time,Senior,Expert,256000,United States Dollar,United States of America,256000,United States,Small,2021,North America
243,Machine Learning Engineer,Full-Time,Senior,Expert,255360,United States Dollar,United States of America,255360,United States,Medium,2023,North America
244,Data Engineer,Full-Time,Senior,Expert,255000,United States Dollar,United States of America,255000,United States,Medium,2023,North America
245,Data Scientist,Full-Time,Senior,Expert,255000,United States Dollar,United States of America,255000,United States,Medium,2023,North America
246,Data Science Manager,Full-Time,Senior,Expert,255000,United States Dollar,United States of America,255000,United States,Medium,2023,North America
